Date,BRL,ZAR,TRY,MXN,CNY,KRW,TNX,EMB
2010-01-01,1.740000,7.410000,1.500000,13.100000,6.830000,1180.000000,38.000000,105.200000
2010-01-04,1.740000,7.410000,1.500000,13.100000,6.830000,1180.000000,38.000000,105.200000
2010-01-05,1.746544,7.459424,1.473080,13.253802,6.824045,1181.929136,37.827872,105.064288
2010-01-06,1.745203,7.339587,1.468564,13.224923,6.821504,1187.881900,36.808819,104.685041
2010-01-07,1.749977,7.226279,1.457352,13.394126,6.812544,1186.314202,36.904747,104.837367
2010-01-08,1.762223,7.183060,1.451642,13.439018,6.822056,1171.530373,36.999817,105.240814
2010-01-11,1.754166,7.218959,1.459743,13.403001,6.814367,1168.085042,36.923716,105.198181
2010-01-12,1.782959,7.143050,1.460284,13.427354,6.831276,1162.015131,36.797357,105.495740
2010-01-13,1.781784,7.180428,1.436322,13.411436,6.870920,1161.966912,37.265807,105.807463
2010-01-14,1.784427,6.987116,1.457884,13.542922,6.888126,1157.948054,37.308770,105.821548
2010-01-15,1.796208,7.001026,1.448850,13.541355,6.881922,1157.207695,36.755000,106.172028
2010-01-18,1.781201,7.003791,1.449361,13.520025,6.885858,1166.059226,36.498876,106.792003
2010-01-19,1.811049,7.031974,1.454777,13.514951,6.890415,1166.308753,36.244976,106.740531
2010-01-20,1.820193,7.072472,1.473540,13.522212,6.895288,1160.767861,37.040486,107.049217
2010-01-21,1.813810,6.850637,1.476348,13.568382,6.885729,1155.225939,37.271582,107.175647
2010-01-22,1.785161,6.876767,1.451436,13.571710,6.875550,1150.364498,36.253692,107.182539
2010-01-25,1.790957,6.964838,1.432557,13.457501,6.890744,1143.451153,36.444837,107.247206
2010-01-26,1.780150,6.933026,1.448973,13.482130,6.886019,1164.031746,36.137020,106.409509
2010-01-27,1.778210,6.948973,1.470826,13.384353,6.877492,1163.683339,36.046655,106.673789
2010-01-28,1.768513,6.902503,1.456379,13.500746,6.880031,1161.887431,35.780894,106.522482
2010-01-29,1.770274,6.897604,1.473970,13.694319,6.896600,1164.093411,37.166101,106.475369
2010-02-01,1.757952,6.873354,1.444895,13.678765,6.891598,1162.383953,35.572785,106.943344
2010-02-02,1.749619,6.836553,1.437242,13.645894,6.917258,1160.447729,36.416101,106.301155
2010-02-03,1.756682,6.795632,1.434894,13.739558,6.908987,1160.832113,37.103259,106.381538
2010-02-04,1.738404,6.771720,1.434527,13.723420,6.932646,1164.763064,36.991380,106.726733
2010-02-05,1.753331,6.805348,1.415919,13.898417,6.933666,1165.571999,37.211425,106.491097
2010-02-08,1.727723,6.870667,1.381609,13.921199,6.954602,1166.762495,37.243228,106.945835
2010-02-09,1.764920,6.794756,1.399195,13.840030,6.934462,1146.911778,36.948979,107.028836
2010-02-10,1.790976,6.779056,1.399396,13.693611,6.946025,1154.943908,36.812765,106.628747
2010-02-11,1.772969,6.845248,1.391972,13.679192,6.926863,1143.899577,36.357209,106.725384
2010-02-12,1.789987,6.843497,1.403974,13.646567,6.939351,1123.849511,36.522368,107.117427
2010-02-15,1.797008,6.938147,1.396247,13.611588,6.942823,1126.583845,36.180576,106.882296
2010-02-16,1.789280,6.906894,1.380399,13.321233,6.918720,1133.834272,36.569254,106.626783
2010-02-17,1.790118,7.039539,1.345861,13.224091,6.920004,1128.521249,35.653785,106.506424
2010-02-18,1.781860,7.001605,1.357240,13.211354,6.915230,1128.987031,36.592024,106.158661
2010-02-19,1.780926,6.979746,1.369007,13.335298,6.910584,1132.723618,36.707716,106.325184
2010-02-22,1.786251,7.101992,1.379674,13.346696,6.898901,1153.497808,36.880733,106.399560
2010-02-23,1.802320,7.154883,1.369817,13.268782,6.892185,1152.014757,37.739760,106.961956
2010-02-24,1.804296,7.182681,1.363026,13.277940,6.921475,1156.225141,37.849774,107.448811
2010-02-25,1.769477,7.213713,1.359506,13.326332,6.945315,1160.973834,38.407491,107.377013
